Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-08-09,119.362,119.746,116.742,117.695,678964.94015621
2017-08-10,117.695,118.648,114.681,115.163,394341.31696272
2017-08-11,113.824,114.45,113.159,113.304,636921.51368128
2017-08-14,114.21,114.402,112.823,113.353,381741.89261861
2017-08-16,113.632,118.023,112.967,117.454,792491.64146639
2017-08-17,117.84,117.926,114.826,114.922,586957.88532119
2017-08-18,114.922,115.548,113.159,113.353,891188.34367838
2017-08-21,114.585,115.875,114.161,115.875,367253.54114336
2017-08-22,116.597,118.648,116.597,117.551,891135.38310461
2017-08-23,117.551,117.926,115.683,116.693,394736.96360206
2017-08-24,116.877,118.456,116.501,117.975,603760.92540296
2017-08-25,120.132,121.278,119.362,120.315,1076384.2010533
2017-08-28,121.182,121.75,119.409,120.892,552674.74056748
2017-08-29,121.278,121.364,118.648,120.989,748666.2474505
2017-08-30,121.557,122.086,120.603,121.085,677918.18999228
2017-08-31,121.75,122.462,119.409,120.411,883069.79925224
2017-09-01,120.844,121.653,119.843,121.364,399648.79720857
2017-09-04,121.229,122.424,121.085,122.231,367862.0685204
2017-09-05,122.896,126.285,122.039,122.992,1556225.6913757
2017-09-06,123.656,123.945,119.939,120.132,705949.9101559
2017-09-07,120.556,121.846,119.699,120.132,616538.96187823
2017-09-08,119.362,119.362,116.55,117.84,969591.8001529
2017-09-11,119.073,120.315,117.926,119.795,539442.90466599
2017-09-12,119.843,120.18,117.166,118.119,503474.36753525
2017-09-13,118.071,118.119,114.489,114.874,1141764.5485936
2017-09-14,114.306,115.828,113.256,114.73,632772.93540263
2017-09-15,115.259,115.5,113.632,113.632,991175.83007069
2017-09-18,115.924,116.405,113.873,113.969,601339.27720627
2017-09-19,114.114,115.163,113.969,115.067,255654.18934135
2017-09-20,115.548,116.068,113.92,114.826,306185.84581619
2017-09-21,113.535,113.535,110.579,111.677,984403.10728388
2017-09-22,110.098,112.534,109.288,112.534,665109.00023833
2017-09-25,111.725,112.341,109.722,110.339,485219.58466661
2017-09-26,110.579,112.11,108.287,108.287,765957.35556505
2017-09-27,109.953,110.242,108.48,108.672,561708.15294443
2017-09-28,108.672,109.625,107.527,108.527,478393.90130603
